id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_sekolah,satuan,tahun_ajaran
96,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,109,UNIT,2017/2018
97,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,2,UNIT,2017/2018
98,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,28,UNIT,2017/2018
99,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,15,UNIT,2017/2018
100,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,129,UNIT,2017/2018
101,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,4,UNIT,2017/2018
102,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,124,UNIT,2017/2018
103,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,3,UNIT,2017/2018
104,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,21,UNIT,2017/2018
105,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,4,UNIT,2017/2018
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,47,UNIT,2017/2018
107,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,4,UNIT,2017/2018
108,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,11,UNIT,2017/2018
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,11,UNIT,2018/2019
110,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,347,UNIT,2018/2019
111,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,11,UNIT,2018/2019
112,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,149,UNIT,2018/2019
113,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,28,UNIT,2018/2019
114,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,155,UNIT,2018/2019
115,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,11,UNIT,2018/2019
116,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,128,UNIT,2018/2019
117,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,15,UNIT,2018/2019
118,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,164,UNIT,2018/2019
119,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,13,UNIT,2018/2019
120,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,123,UNIT,2018/2019
121,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,8,UNIT,2018/2019
122,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,61,UNIT,2018/2019
123,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,9,UNIT,2018/2019
124,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,35,UNIT,2018/2019
125,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,8,UNIT,2018/2019
126,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,100,UNIT,2018/2019
127,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,11,UNIT,2018/2019
128,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,45,UNIT,2018/2019
129,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,7,UNIT,2018/2019
130,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,83,UNIT,2018/2019
131,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,19,UNIT,2018/2019
132,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,118,UNIT,2018/2019
133,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,16,UNIT,2018/2019
134,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,91,UNIT,2018/2019
135,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,15,UNIT,2018/2019
136,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,43,UNIT,2018/2019
137,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,18,UNIT,2018/2019
138,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,93,UNIT,2018/2019
